timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
7867490312,-4,-3,0,5,2,2,-3,-2
7867490312,10,0,-8,-7,1,2,7,0
7867491275,-9,1,-12,7,-1,2,-7,0
7867491275,1,-18,-36,-33,-9,-1,6,-2
7867491937,-7,-5,0,-7,-9,-11,-15,-6
7867491937,-4,-6,3,1,0,-9,-13,-7
7867494834,4,3,-3,2,3,11,23,4
7867494834,1,9,16,16,5,1,-9,2
7867502621,2,1,8,7,0,-2,9,-1
7867502621,0,1,-14,-8,-7,-5,-32,-1
7867510638,-6,-3,7,-4,-8,-9,-4,-3
7867510638,-8,-5,3,-4,0,-4,-20,-5
7867516903,15,7,5,3,2,5,17,3
7867516903,9,2,7,10,1,5,3,6
7867531932,-7,1,1,-9,0,-2,1,-5
7867531932,-8,5,4,4,2,1,-2,-2
7867541317,-4,-13,-12,3,-5,-1,-10,-3
7867541317,-3,2,1,-5,0,1,13,-5
7867546956,0,-13,1,1,-2,-3,-18,-1
7867546956,5,6,0,-15,6,2,15,1
7867570728,-6,1,3,-3,-3,-1,-5,-1
7867570728,-2,-4,1,7,-1,-1,11,-2
7867610139,-2,-5,1,1,-7,-1,10,0
7867610139,3,1,-5,-10,2,3,9,-1
7867611017,-4,-3,0,-6,-7,-8,1,-1
7867611017,-7,1,-6,-3,-1,1,-3,-2
7867611766,-1,2,6,6,2,4,15,2
7867611766,-10,0,1,6,10,-1,-4,0
7867614250,2,-2,-8,-2,-6,-2,-3,-5
7867614250,-2,0,2,9,8,2,6,1
7867622396,2,-2,-1,-3,-6,-5,-11,0
7867622396,5,0,-4,-8,-4,-4,-9,0
7867629334,1,6,8,4,7,4,-1,2
7867629334,3,-3,-1,-7,-10,-6,-8,-2
7867637346,-4,0,-2,1,-3,0,-3,-2
7867637346,5,-6,1,7,0,-2,-14,0
7867651788,1,0,-6,-14,4,-2,-23,-2
7867651788,-8,-6,-1,3,-1,3,9,-1
7867659915,2,2,-1,-14,-10,-6,-4,-2
7867659915,-5,1,2,9,2,3,3,-2
7867666777,-5,-7,4,5,-3,2,-1,1
7867666777,2,-3,1,-1,15,13,7,2
7867682410,2,3,0,-1,1,-7,-2,-1
7867682410,-5,-11,-12,-4,-7,-2,8,-1
7867689255,5,4,2,0,-25,-13,-1,-1
7867689255,-9,6,0,-5,5,-1,6,-2
7867697484,3,0,4,9,11,8,3,-1
7867697484,8,3,1,-1,0,5,18,1
7867711743,5,2,1,4,-17,-9,-8,-1
7867711743,3,-2,2,9,-3,-3,-6,2
7867719968,-11,0,-8,-2,16,-4,5,-6
7867719968,-4,2,1,-8,-14,-1,3,-3
7867726744,-10,-4,6,18,40,15,17,1
7867726744,6,-7,-2,-7,-17,-9,-9,0
7867742463,-3,-5,-1,5,-9,-2,-5,-3
7867742463,1,-5,-10,-29,-25,-16,-15,-3
7867749271,-5,1,-1,-4,-7,2,4,-2
7867749271,2,-2,6,7,6,5,7,0
7867765627,17,2,-9,17,22,4,-8,4
7867765627,-11,0,-9,-8,-5,-3,-4,0
7867771758,-2,-4,3,2,-7,-8,3,-2
7867771758,-5,-2,-8,-14,3,-1,-5,-3
7867780619,-1,0,-2,-9,-18,-5,-7,-1
7867780619,1,1,6,-1,7,-2,2,-7
7867786655,2,1,-4,-7,2,2,13,2
7867786655,-4,-1,1,9,5,-2,-5,-4
7867803165,2,-4,-4,-9,-12,-1,36,8
7867803165,5,19,10,9,4,-5,-14,-3
7867809205,-14,-13,2,-8,10,18,21,0
7867809205,2,-5,-2,12,7,-3,0,-2
7867825594,-4,17,3,-22,-11,-6,-28,-1
7867825594,8,-12,-3,26,7,-3,-4,4
7867831647,12,8,-7,-13,-2,4,4,0
7867831647,-8,-7,-6,-8,-5,-6,-4,-5
7867840633,-23,-12,1,-15,-20,-15,-18,-7
7867840633,5,0,8,7,2,1,1,2
7867846708,6,3,-12,10,7,-6,-15,2
7867846708,-5,1,-12,-66,-45,-12,-5,-3
7867863098,15,2,-9,12,29,7,-1,5
7867863098,-13,-8,-1,-10,-7,2,-1,-3
7867869148,-3,-11,17,54,30,9,3,0
7867869148,-5,8,7,11,8,-2,-4,-4
7867885616,-3,-5,-4,-24,-18,-4,-1,-3
7867885616,10,3,-6,-10,-8,-10,-7,1
7867891724,-2,-4,0,-10,-4,-2,-2,-2
7867891724,3,-1,5,27,5,7,0,2
7867900633,2,25,29,17,7,6,2,-2
7867900633,-13,-15,-23,-3,6,2,-11,-2
7867906761,4,3,-14,-20,-22,-18,-16,3
7867906761,-5,10,1,-11,-16,-23,-30,-12
7867923132,-1,-12,0,10,19,34,32,9
7867923132,6,0,-2,-3,3,-6,-6,-2
7867929233,-3,-2,-5,2,4,14,27,3
7867929233,6,4,-1,15,5,-8,21,-7
7867945600,-2,-6,7,-6,-3,-2,13,8
7867945600,-2,1,3,1,-13,-1,-5,-2
7867951710,8,-5,-4,-3,2,-5,-35,-1
7867951710,5,22,-16,0,9,4,15,7
7867960612,-1,-1,-12,-17,-20,-9,-37,-9
7867960612,-14,-32,-1,7,10,-6,0,-11
7867966761,-12,0,11,-6,8,20,17,4
7867966761,21,-4,2,14,-12,4,-7,9
7867983116,-4,-12,16,21,30,4,-11,-6
7867983116,-5,2,7,-12,-16,2,7,5
7867989295,10,22,-6,30,1,-28,-32,-13
7867989295,1,9,2,-11,6,13,3,9
7868005570,-11,-1,-13,-11,-9,-8,-4,-6
7868005570,2,10,-2,50,-9,-5,10,-3
7868011767,-6,-17,10,-57,3,-1,-25,-5
7868011767,-4,-18,-7,11,13,12,4,5
