timestamp,x,y,z
52920046827,5.375,5.8125,2.625
52920061648,9.375,7.125,2.25
52920076649,11.0625,7.25,2.25
52920101738,7.625,5.5625,4.25
52920130921,-1,2.3125,5.1875
52920152323,-7.8125,1.875,7.8125
52920153189,-7,-0.8125,7
52920176091,-8.75,-5.125,5.875
52920189128,-7.0625,-8.0625,6.3125
52920212808,-6.25,-11,4.75
52920259493,-4.9375,-10.8125,2.25
52920260881,-1.5,-14.75,4.625
52920271717,-3.8125,-17.5625,11.5
52920295721,-10.9375,-16.375,12.25
52920313040,-16.75,-14.4375,15.3125
52920331699,-23.125,-13.3125,11.8125
52920379100,-21.5625,-11.0625,5.375
52920379886,-3.5625,-4.625,-3.625
52920392860,10.9375,1.125,-12.0625
52920413917,21.4375,6.1875,-19.8125
52920430411,34.3125,11,-26.0625
52920452849,45.5,15.75,-31.375
52920475417,42,11.125,-34.625
52920490423,26.375,10.25,-36
52920512869,25,15.6875,-44.75
52920533925,41.1875,27.375,-59.1875
52920550410,56,45.25,-66.5
52920581038,64.5,43.4375,-63.3125
52920619094,63.1875,39.6875,-70.5
52920621511,19.4375,26.8125,-84.5
52920642495,5.75,19.125,-92.0625
52920653937,17.3125,15.0625,-83.6875
52920670414,12.6875,3.6875,-74.5
52920701039,8.4375,-5.5625,-54.5625
52920714606,14.4375,-11.8125,-32.25
52920730414,21,-11.5,-16.8125
52920754396,24.3125,-5.5,-12.9375
52920773909,18.25,-1.8125,-8
52920790437,1.0625,-3.6875,-2.5625
52920812091,-9.625,-5.3125,5.25
52920834585,-12.8125,-4.4375,10.875
52920857134,-15.0625,-4.25,12.4375
52920872084,-15.5,-6,9.5
52920894567,-12,-6.25,8.6875
52920909560,-10.25,-6.375,11.0625
52920932068,-18.25,-9,12.5625
52920954564,-21.8125,-10.9375,12.625
52920969613,-15.0625,-13.8125,12.125
